repository_id,developer_id_1,developer_id_2,begin_contribution_date,end_contribution_date,contribution_days
1018,203,962,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,963,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,974,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,992,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,995,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,1003,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,1199,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,1831,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,5305,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,6396,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,6400,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,6408,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,6418,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,8209,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,9215,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,9326,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,9930,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,10047,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,10058,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,11961,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,14005,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,14956,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,17715,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,19076,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,31284,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,32731,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,39559,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,41747,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,51014,2014-03-06 18:21:04,2014-03-06 18:21:04,0
1018,203,89579,2014-03-06 18:21:04,2014-03-06 18:21:04,0
